Phenotype,Read code,Description,DESC_UKHD,DESC_UKHD_30,DESC_UKHD_60,DESC_UKHD_198,Category
AMI                           ,G30y.,Other acute myocardial infarction                                                                                                                                                                                                                              ,Other acute myocardial infarction                                                                                                                                                                     ,Other acute myocardial infarct,Other acute myocardial infarction                           ,,Acute MI not further specified (5)                
AMI                           ,G30y0,Acute atrial infarction                                                                                                                                                                                                                                        ,Acute atrial infarction                                                                                                                                                                               ,Acute atrial infarction       ,,,Acute MI not further specified (5)                
AMI                           ,G30y1,Acute papillary muscle infarction                                                                                                                                                                                                                              ,Acute papillary muscle infarction                                                                                                                                                                     ,Acute papillary muscle infarct,Acute papillary muscle infarction                           ,,Acute MI not further specified (5)                
AMI                           ,G30y2,Acute septal infarction                                                                                                                                                                                                                                        ,Acute septal infarction                                                                                                                                                                               ,Acute septal infarction       ,,,Acute MI not further specified (5)                
AMI                           ,G30yz,Other acute myocardial infarction NOS                                                                                                                                                                                                                          ,Other acute myocardial infarction NOS                                                                                                                                                                 ,Other acute myocardial inf.NOS,Other acute myocardial infarction NOS                       ,,Acute MI not further specified (5)                
AMI                           ,G30z.,Acute myocardial infarction NOS                                                                                                                                                                                                                                ,Acute myocardial infarction NOS                                                                                                                                                                       ,Acute myocardial infarct. NOS ,Acute myocardial infarction NOS                             ,,Acute MI not further specified (5)                
AMI                           ,G310.,Dressler's syndrome                                                                                                                                                                                                                                            ,Postmyocardial infarction syndrome                                                                                                                                                                    ,Postmyocardial infarct. syndr.,Postmyocardial infarction syndrome                          ,,Complications of MI (7)                           
AMI                           ,G310.,Postmyocardial infarction syndrome                                                                                                                                                                                                                             ,Postmyocardial infarction syndrome                                                                                                                                                                    ,Postmyocardial infarct. syndr.,Postmyocardial infarction syndrome                          ,,History of MI (1)                                 
AMI                           ,G31y1,Microinfarction of heart                                                                                                                                                                                                                                       ,Microinfarction of heart                                                                                                                                                                              ,Microinfarction of heart      ,,,Acute MI not further specified (5)                
AMI                           ,G32..,Old myocardial infarction                                                                                                                                                                                                                                      ,Old myocardial infarction                                                                                                                                                                             ,Old myocardial infarction     ,,,History of MI (1)                                 
AMI                           ,G33z5,Post infarct angina                                                                                                                                                                                                                                            ,Post infarct angina                                                                                                                                                                                   ,Post infarct angina           ,,,History of MI (1)                                 
AMI                           ,G35..,Subsequent myocardial infarction                                                                                                                                                                                                                               ,Subsequent myocardial infarction                                                                                                                                                                      ,Subseqnt myocardial infarction,Subsequent myocardial infarction                            ,,Subsequent MI (6)                                 
AMI                           ,G350.,Subsequent myocardial infarction of anterior wall                                                                                                                                                                                                              ,Subsequent myocardial infarction of anterior wall                                                                                                                                                     ,Subsqnt myocrd infarc/ant wall,Subsequent myocardial infarction of anterior wall           ,,Subsequent MI (6)                                 
AMI                           ,G351.,Subsequent myocardial infarction of inferior wall                                                                                                                                                                                                              ,Subsequent myocardial infarction of inferior wall                                                                                                                                                     ,Subsqnt myocrd infarc/inf wall,Subsequent myocardial infarction of inferior wall           ,,Subsequent MI (6)                                 
AMI                           ,G353.,Subsequent myocardial infarction of other sites                                                                                                                                                                                                                ,Subsequent myocardial infarction of other sites                                                                                                                                                       ,Subseq myo infarct other sites,Subsequent myocardial infarction of other sites             ,,Subsequent MI (6)                                 
AMI                           ,G35X.,Subsequent myocardial infarction of unspecified site                                                                                                                                                                                                           ,Subsequent myocardial infarction of unspecified site                                                                                                                                                  ,Subseq MI of unspec site      ,Subsequent myocardial infarction of unspecified site        ,,Subsequent MI (6)                                 
AMI                           ,G36..,Certain current complication follow acute myocardial infarct                                                                                                                                                                                                   ,Certain current complications following acute myocardial infarction                                                                                                                                   ,Certain curnt comp fol acut MI,Certain current complication follow acute myocardial infarct,Certain current complications following acute myocardial infarction                                                                                                                                   ,Complications of MI (7)                           
AMI                           ,G360.,Haemopericardium/current comp folow acut myocard infarct                                                                                                                                                                                                       ,Haemopericardium as current complication following acute myocardial infarction                                                                                                                        ,Haempericrd/cur comp fol ac MI,Haemopericardium/current comp folow acut myocard infarct    ,Haemopericardium as current complication following acute myocardial infarction                                                                                                                        ,Complications of MI (7)                           
AMI                           ,G361.,Atrial septal defect/curr comp folow acut myocardal infarct                                                                                                                                                                                                    ,Atrial septal defect as current complication following acute myocardial infarction                                                                                                                    ,Atrl sept def/c comp fol ac MI,Atrial septal defect/curr comp folow acut myocardal infarct ,Atrial septal defect as current complication following acute myocardial infarction                                                                                                                    ,Complications of MI (7)                           
AMI                           ,G362.,Ventric septal defect/curr comp fol acut myocardal infarctn                                                                                                                                                                                                    ,Ventricular septal defect as current complication following acute myocardial infarction                                                                                                               ,Vent sep def/c comp fol ac MI ,Ventric septal defect/curr comp fol acut myocardal infarctn ,Ventricular septal defect as current complication following acute myocardial infarction                                                                                                               ,Complications of MI (7)                           
AMI                           ,G363.,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI                                                                                                                                                                                                     ,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction                                                                                        ,Rup cd w w't h'mpc/cmp f ac MI,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI  ,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction                                                                                        ,Complications of MI (7)                           
AMI                           ,G364.,Ruptur chordae tendinae/curr comp fol acute myocard infarct                                                                                                                                                                                                    ,Rupture of chordae tendinae as current complication following acute myocardial infarction                                                                                                             ,Rp chord tend/c cmp fol ac MI ,Ruptur chordae tendinae/curr comp fol acute myocard infarct ,Rupture of chordae tendinae as current complication following acute myocardial infarction                                                                                                             ,Complications of MI (7)                           
AMI                           ,G365.,Rupture papillary muscle/curr comp fol acute myocard infarct                                                                                                                                                                                                   ,Rupture of papillary muscle as current complication following acute myocardial infarction                                                                                                             ,Rp papilr musc/c cmp fol ac MI,Rupture papillary muscle/curr comp fol acute myocard infarct,Rupture of papillary muscle as current complication following acute myocardial infarction                                                                                                             ,Complications of MI (7)                           
AMI                           ,G366.,"Thrombosis atrium,auric append&vent/curr comp foll acute MI                                                                                                                                                                                                    ","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction                                                                               ","Thrm/atr,au ap&vnt/c cp f a MI","Thrombosis atrium,auric append&vent/curr comp foll acute MI ","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction                                                                               ",Complications of MI (7)                           
AMI                           ,G38..,Postoperative myocardial infarction                                                                                                                                                                                                                            ,Postoperative myocardial infarction                                                                                                                                                                   ,Postoperative MI              ,Postoperative myocardial infarction                         ,,Acute MI not further specified (5)                
AMI                           ,G380.,Postoperative transmural myocardial infarction anterior wall                                                                                                                                                                                                   ,Postoperative transmural myocardial infarction of anterior wall                                                                                                                                       ,Postop transmur MI inf wall   ,Postoperative transmural myocardial infarction anterior wall,Postoperative transmural myocardial infarction of anterior wall                                                                                                                                       ,Acute MI not further specified (5)                
AMI                           ,G381.,Postoperative transmural myocardial infarction inferior wall                                                                                                                                                                                                   ,Postoperative transmural myocardial infarction of inferior wall                                                                                                                                       ,Postop transm MI inferior wall,Postoperative transmural myocardial infarction inferior wall,Postoperative transmural myocardial infarction of inferior wall                                                                                                                                       ,Acute MI not further specified (5)                
AMI                           ,G384.,Postoperative subendocardial myocardial infarction                                                                                                                                                                                                             ,Postoperative subendocardial myocardial infarction                                                                                                                                                    ,Postop subendocardial MI      ,Postoperative subendocardial myocardial infarction          ,,Acute MI not further specified (5)                
AMI                           ,G38z.,"Postoperative myocardial infarction, unspecified                                                                                                                                                                                                               ","Postoperative myocardial infarction, unspecified                                                                                                                                                      ","Postop MI,unspec              ","Postoperative myocardial infarction, unspecified            ",,Acute MI not further specified (5)                
AMI                           ,G501.,Post infarction pericarditis                                                                                                                                                                                                                                   ,Post infarction pericarditis                                                                                                                                                                          ,Post infarction pericarditis  ,,,Complications of MI (7)                           
AMI                           ,Gyu34,[X]Acute transmural myocardial infarction of unspecif site                                                                                                                                                                                                     ,[X]Acute transmural myocardial infarction of unspecified site                                                                                                                                         ,[X]Ac transmur MI unspec site ,[X]Acute transmural myocardial infarction of unspecif site  ,[X]Acute transmural myocardial infarction of unspecified site                                                                                                                                         ,Acute MI not further specified (5)                
ANGINA                        ,14A5.,H/O: angina pectoris                                                                                                                                                                                                                                           ,H/O: angina pectoris                                                                                                                                                                                  ,H/O: angina pectoris          ,,,Stable angina                                     
ANGINA                        ,14AJ.,H/O: Angina in last year                                                                                                                                                                                                                                       ,H/O: Angina in last year                                                                                                                                                                              ,H/O: Angina in last year      ,,,Stable angina                                     
ANGINA                        ,32131,Exercise ECG abnormal                                                                                                                                                                                                                                          ,Exercise ECG abnormal                                                                                                                                                                                 ,Exercise ECG abnormal         ,,,Stable angina                                     
ANGINA                        ,322..,ECG: myocardial ischaemia                                                                                                                                                                                                                                      ,ECG: myocardial ischaemia                                                                                                                                                                             ,ECG: myocardial ischaemia     ,,,Stable angina                                     
ANGINA                        ,3222,ECG:shows myocardial ischaemia                                                                                                                                                                                                                                 ,ECG:shows myocardial ischaemia                                                                                                                                                                        ,ECG:shows myocardial ischaemia,,,Stable angina                                     
ANGINA                        ,322Z.,ECG: myocardial ischaemia NOS                                                                                                                                                                                                                                  ,ECG: myocardial ischaemia NOS                                                                                                                                                                         ,ECG: myocardial ischaemia NOS ,,,Stable angina                                     
ANGINA                        ,32E4.,ECG: S-T depression                                                                                                                                                                                                                                            ,ECG: S-T depression                                                                                                                                                                                   ,ECG: S-T depression           ,,,Stable angina                                     
ANGINA                        ,32F2.,ECG: T wave abnormal                                                                                                                                                                                                                                           ,ECG: T wave abnormal                                                                                                                                                                                  ,ECG: T wave abnormal          ,,,Stable angina                                     
